Time (s),Altitude (m),Velocity (m/s),Velocity Magnitude (m/s),Accel <Z> (rad/s)
5.522500000000227338e+00,1.829598386602297069e+03,4.110465650194321938e+02,4.111262863573579693e+02,-3.651383457246028286e+01
5.525000000000227729e+00,1.830625951198544044e+03,4.109552875679996191e+02,4.110349895641660964e+02,-3.650141797174879343e+01
5.527500000000228120e+00,1.831653287618780723e+03,4.108640411511848924e+02,4.109437235154243808e+02,-3.648901094515506571e+01
5.530000000000228511e+00,1.832680395940580411e+03,4.107728257450859246e+02,4.108524881926136914e+02,-3.647661342767655412e+01
5.532500000000228901e+00,1.833707276241456157e+03,4.106816413253505402e+02,4.107612835771645905e+02,-3.646422586372958108e+01
5.535000000000229292e+00,1.834733928598860075e+03,4.105904878669433629e+02,4.106701096504158954e+02,-3.645184835066122275e+01
5.537500000000229683e+00,1.835760353090181070e+03,4.104993653446147164e+02,4.105789663937039791e+02,-3.643948103752263989e+01
5.540000000000230074e+00,1.836786549792744836e+03,4.104082737322714252e+02,4.104878537882482306e+02,-3.642712440761697223e+01
5.542500000000230465e+00,1.837812518783811129e+03,4.103172130029202549e+02,4.103967718151440067e+02,-3.641477867330869600e+01
5.545000000000230855e+00,1.838838260140572174e+03,4.102261831292593115e+02,4.103057204554725104e+02,-3.640244381191613599e+01
5.547500000000231246e+00,1.839863773940151532e+03,4.101351840837938312e+02,4.102146996903215950e+02,-3.639012018220523714e+01
5.550000000000231637e+00,1.840889060259603866e+03,4.100442158384083768e+02,4.101237095007101061e+02,-3.637780769146173299e+01
5.552500000000232028e+00,1.841914119175913584e+03,4.099532783647711085e+02,4.100327498676610958e+02,-3.636550679333554115e+01
5.555000000000232419e+00,1.842938950765993468e+03,4.098623716339985776e+02,4.099418207721424210e+02,-3.635321739096698224e+01
5.557500000000232809e+00,1.843963555106684453e+03,4.097714956170161145e+02,4.098509221951297832e+02,-3.634093977150924815e+01
5.560000000000233200e+00,1.844987932274754485e+03,4.096806502842742930e+02,4.097600541175573881e+02,-3.632867393864963645e+01
5.562500000000233591e+00,1.846012082346897159e+03,4.095898356063112260e+02,4.096692165204150911e+02,-3.631641987193285104e+01
5.565000000000233982e+00,1.847036005399732858e+03,4.094990515534611859e+02,4.095784093846964424e+02,-3.630417786207676301e+01
5.567500000000234373e+00,1.848059701509807155e+03,4.094082980951438344e+02,4.094876326912756781e+02,-3.629194817585165822e+01
5.570000000000234763e+00,1.849083170753589002e+03,4.093175752006755488e+02,4.093968864210473839e+02,-3.627973068582478788e+01
5.572500000000235154e+00,1.850106413207461401e+03,4.092268828319975569e+02,4.093061705536861155e+02,-3.626752557861987469e+01
